vile	-3.18	0.61
tragic	-3.15	0.66
ugly	-3.10	0.49
traumatic	-3.08	0.68
stinging	-3.05	0.56
awful	-2.89	0.49
foul	-2.84	0.50
horrific	-2.83	0.69
fatal	-2.82	0.77
sick	-2.81	0.46
painful	-2.67	0.61
unnatural	-2.64	0.60
dire	-2.62	0.64
terrible	-2.61	0.69
minor	-2.59	0.79
cruel	-2.59	0.63
frightening	-2.59	0.52
unlucky	-2.58	0.54
hideous	-2.58	0.64
miserable	-2.57	0.47
mindless	-2.56	0.79
hungry	-2.55	0.70
insecure	-2.55	0.72
ominous	-2.53	0.62
terrifying	-2.47	0.70
unbearable	-2.45	0.57
mortal	-2.45	0.68
worst	-2.43	0.70
catastrophic	-2.42	0.74
weak	-2.40	0.73
lonely	-2.33	0.59
innocent	-2.29	0.63
needy	-2.22	0.75
humiliating	-2.19	0.68
selfish	-2.18	0.51
creepy	-2.17	0.52
greedy	-2.17	0.46
poisonous	-2.16	0.70
damned	-2.14	0.54
gross	-2.10	0.92
bizarre	-2.09	0.53
nasty	-2.09	0.77
brutal	-2.09	0.72
homeless	-2.07	0.87
ragged	-2.07	0.72
occasional	-2.07	0.70
accidental	-2.07	0.82
depressed	-2.02	1.17
filthy	-2.01	0.64
disastrous	-1.99	0.71
misguided	-1.98	0.73
strange	-1.96	0.57
ignorant	-1.94	0.46
harsh	-1.94	0.63
tired	-1.93	1.13
dreadful	-1.93	0.66
gruesome	-1.93	0.99
indifferent	-1.92	0.64
devastating	-1.87	0.44
dangerous	-1.86	0.55
crude	-1.85	0.76
sudden	-1.84	0.70
blind	-1.84	0.46
random	-1.84	0.64
drunk	-1.83	0.92
outrageous	-1.82	0.67
alarming	-1.82	0.62
vicious	-1.81	0.85
inevitable	-1.79	0.75
sinister	-1.79	0.61
impoverished	-1.79	1.15
rotten	-1.78	0.52
searing	-1.78	0.74
impatient	-1.78	1.26
unpredictable	-1.77	0.67
bloody	-1.76	0.33
shocking	-1.76	0.75
bored	-1.76	1.22
embarrassing	-1.76	0.57
stupid	-1.75	0.75
hostile	-1.75	0.60
weary	-1.74	1.16
anxious	-1.73	1.28
naive	-1.72	0.57
peculiar	-1.72	0.70
scary	-1.71	0.59
paranoid	-1.71	0.67
unfair	-1.71	0.46
primitive	-1.71	0.85
irresponsible	-1.70	0.49
unrelated	-1.70	0.63
mundane	-1.70	0.61
stray	-1.70	0.59
lingering	-1.69	0.73
aging	-1.69	0.78
irritating	-1.66	0.64
murderous	-1.66	0.82
crushing	-1.66	0.73
agitated	-1.65	1.34
depressing	-1.65	0.49
thirsty	-1.65	0.79
angry	-1.64	1.29
cranky	-1.64	0.71
